Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
1/2/2007;00:00:00;0.326;0.128;243.150;1.400;0.000;0.000;0.000
1/2/2007;00:01:00;0.326;0.130;243.320;1.400;0.000;0.000;0.000
1/2/2007;00:02:00;0.324;0.132;243.510;1.400;0.000;0.000;0.000
1/2/2007;00:03:00;0.324;0.134;243.900;1.400;0.000;0.000;0.000
1/2/2007;00:04:00;0.322;0.130;243.160;1.400;0.000;0.000;0.000
1/2/2007;00:05:00;0.320;0.126;242.290;1.400;0.000;0.000;0.000
1/2/2007;00:06:00;0.320;0.126;242.460;1.400;0.000;0.000;0.000
1/2/2007;00:07:00;0.320;0.126;242.630;1.400;0.000;0.000;0.000
1/2/2007;00:08:00;0.320;0.128;242.700;1.400;0.000;0.000;0.000
1/2/2007;00:09:00;0.236;0.000;242.890;1.000;0.000;0.000;0.000
1/2/2007;00:10:00;0.226;0.000;243.000;1.000;0.000;0.000;0.000
1/2/2007;00:11:00;0.224;0.000;242.500;1.000;0.000;0.000;0.000
1/2/2007;00:12:00;0.224;0.000;242.180;1.000;0.000;0.000;0.000
1/2/2007;00:13:00;0.224;0.000;242.150;1.000;0.000;0.000;0.000
1/2/2007;00:14:00;0.224;0.000;242.730;1.000;0.000;0.000;0.000
1/2/2007;00:15:00;0.260;0.000;242.850;1.200;0.000;0.000;0.000
1/2/2007;00:16:00;0.304;0.096;242.890;1.200;0.000;0.000;0.000
1/2/2007;00:17:00;0.302;0.096;242.870;1.200;0.000;0.000;0.000
1/2/2007;00:18:00;0.302;0.094;242.190;1.200;0.000;0.000;0.000
1/2/2007;00:19:00;0.300;0.094;242.230;1.200;0.000;0.000;0.000
1/2/2007;00:20:00;0.300;0.094;242.160;1.200;0.000;0.000;0.000
1/2/2007;00:21:00;0.298;0.094;242.290;1.200;0.000;0.000;0.000
1/2/2007;00:22:00;0.298;0.094;242.470;1.200;0.000;0.000;0.000
1/2/2007;00:23:00;0.296;0.094;242.320;1.200;0.000;0.000;0.000
1/2/2007;00:24:00;0.296;0.096;242.980;1.200;0.000;0.000;0.000
1/2/2007;00:25:00;0.298;0.100;243.650;1.200;0.000;0.000;0.000
1/2/2007;00:26:00;0.228;0.000;243.550;1.000;0.000;0.000;0.000
1/2/2007;00:27:00;0.226;0.000;243.110;1.000;0.000;0.000;0.000
1/2/2007;00:28:00;0.226;0.000;243.090;1.000;0.000;0.000;0.000
1/2/2007;00:29:00;0.226;0.000;243.050;1.000;0.000;0.000;0.000
1/2/2007;00:30:00;0.226;0.000;243.220;1.000;0.000;0.000;0.000
1/2/2007;00:31:00;0.226;0.000;243.370;1.000;0.000;0.000;0.000
1/2/2007;00:32:00;0.226;0.000;243.140;1.000;0.000;0.000;0.000
1/2/2007;00:33:00;0.226;0.000;243.120;1.000;0.000;0.000;0.000
1/2/2007;00:34:00;0.322;0.094;242.740;1.400;0.000;0.000;0.000
1/2/2007;00:35:00;0.336;0.126;242.590;1.400;0.000;0.000;0.000
1/2/2007;00:36:00;0.332;0.126;242.910;1.400;0.000;0.000;0.000
1/2/2007;00:37:00;0.332;0.130;243.510;1.400;0.000;0.000;0.000
1/2/2007;00:38:00;0.330;0.130;243.650;1.400;0.000;0.000;0.000
1/2/2007;00:39:00;0.328;0.128;243.370;1.400;0.000;0.000;0.000
1/2/2007;00:40:00;0.328;0.130;243.790;1.400;0.000;0.000;0.000
1/2/2007;00:41:00;0.326;0.128;243.230;1.400;0.000;0.000;0.000
1/2/2007;00:42:00;0.324;0.126;242.980;1.400;0.000;0.000;0.000
1/2/2007;00:43:00;0.322;0.126;242.950;1.400;0.000;0.000;0.000
1/2/2007;00:44:00;0.322;0.124;242.600;1.400;0.000;0.000;0.000
1/2/2007;00:45:00;0.322;0.128;243.330;1.400;0.000;0.000;0.000
1/2/2007;00:46:00;0.318;0.118;241.320;1.400;0.000;0.000;0.000
1/2/2007;00:47:00;0.316;0.116;240.930;1.400;0.000;0.000;0.000
1/2/2007;00:48:00;0.316;0.116;240.930;1.400;0.000;0.000;0.000
1/2/2007;00:49:00;0.274;0.058;240.360;1.200;0.000;0.000;0.000
1/2/2007;00:50:00;0.222;0.000;240.930;1.000;0.000;0.000;0.000
1/2/2007;00:51:00;0.222;0.000;240.830;1.000;0.000;0.000;0.000
1/2/2007;00:52:00;0.222;0.000;240.520;1.000;0.000;0.000;0.000
1/2/2007;00:53:00;0.224;0.000;241.450;1.000;0.000;0.000;0.000
1/2/2007;00:54:00;0.224;0.000;241.590;1.000;0.000;0.000;0.000
1/2/2007;00:55:00;0.226;0.000;242.550;1.000;0.000;0.000;0.000
1/2/2007;00:56:00;0.226;0.000;242.880;1.000;0.000;0.000;0.000
1/2/2007;00:57:00;0.226;0.000;242.630;1.000;0.000;0.000;0.000
1/2/2007;00:58:00;0.224;0.000;242.200;1.000;0.000;0.000;0.000
1/2/2007;00:59:00;0.224;0.000;241.840;1.000;0.000;0.000;0.000
1/2/2007;01:00:00;0.222;0.000;240.890;1.000;0.000;0.000;0.000
1/2/2007;01:01:00;0.222;0.000;240.860;1.000;0.000;0.000;0.000
1/2/2007;01:02:00;0.260;0.000;240.640;1.200;0.000;0.000;0.000
1/2/2007;01:03:00;0.298;0.088;240.720;1.200;0.000;0.000;0.000
1/2/2007;01:04:00;0.302;0.094;242.180;1.200;0.000;0.000;0.000
1/2/2007;01:05:00;0.302;0.096;242.660;1.200;0.000;0.000;0.000
1/2/2007;01:06:00;0.302;0.096;242.770;1.200;0.000;0.000;0.000
1/2/2007;01:07:00;0.300;0.096;242.600;1.200;0.000;0.000;0.000
1/2/2007;01:08:00;0.298;0.094;242.380;1.200;0.000;0.000;0.000
1/2/2007;01:09:00;0.298;0.094;242.210;1.200;0.000;0.000;0.000
1/2/2007;01:10:00;0.296;0.096;242.610;1.200;0.000;0.000;0.000
1/2/2007;01:11:00;0.296;0.094;242.240;1.200;0.000;0.000;0.000
1/2/2007;01:12:00;0.258;0.000;242.660;1.000;0.000;0.000;0.000
1/2/2007;01:13:00;0.226;0.000;242.990;1.000;0.000;0.000;0.000
1/2/2007;01:14:00;0.228;0.000;243.530;1.000;0.000;0.000;0.000
1/2/2007;01:15:00;0.316;0.088;243.120;1.400;0.000;0.000;0.000
1/2/2007;01:16:00;0.434;0.252;242.830;2.200;0.000;0.000;0.000
1/2/2007;01:17:00;0.418;0.254;243.080;2.000;0.000;2.000;0.000
1/2/2007;01:18:00;0.414;0.254;243.350;2.000;0.000;1.000;0.000
1/2/2007;01:19:00;0.412;0.252;242.710;2.000;0.000;1.000;0.000
1/2/2007;01:20:00;0.410;0.246;241.630;2.000;0.000;2.000;0.000
1/2/2007;01:21:00;0.408;0.246;241.860;2.000;0.000;1.000;0.000
1/2/2007;01:22:00;0.408;0.248;242.170;2.000;0.000;2.000;0.000
1/2/2007;01:23:00;0.404;0.244;241.700;2.000;0.000;1.000;0.000
1/2/2007;01:24:00;0.402;0.242;241.140;1.800;0.000;1.000;0.000
1/2/2007;01:25:00;0.402;0.244;241.410;1.800;0.000;2.000;0.000
1/2/2007;01:26:00;0.402;0.246;241.950;1.800;0.000;1.000;0.000
1/2/2007;01:27:00;0.402;0.248;242.360;1.800;0.000;2.000;0.000
1/2/2007;01:28:00;0.402;0.250;242.600;1.800;0.000;1.000;0.000
1/2/2007;01:29:00;0.398;0.246;242.110;1.800;0.000;1.000;0.000
1/2/2007;01:30:00;0.336;0.156;241.880;1.600;0.000;2.000;0.000
1/2/2007;01:31:00;0.300;0.104;240.780;1.200;0.000;1.000;0.000
1/2/2007;01:32:00;0.300;0.104;240.680;1.200;0.000;1.000;0.000
1/2/2007;01:33:00;0.300;0.106;240.870;1.200;0.000;2.000;0.000
1/2/2007;01:34:00;0.298;0.106;241.000;1.200;0.000;1.000;0.000
1/2/2007;01:35:00;0.298;0.106;240.970;1.200;0.000;1.000;0.000
1/2/2007;01:36:00;0.298;0.106;241.090;1.200;0.000;1.000;0.000
1/2/2007;01:37:00;0.298;0.106;241.100;1.200;0.000;2.000;0.000
1/2/2007;01:38:00;0.298;0.106;241.210;1.200;0.000;1.000;0.000
1/2/2007;01:39:00;0.296;0.106;241.270;1.200;0.000;1.000;0.000
1/2/2007;01:40:00;0.296;0.108;241.400;1.200;0.000;1.000;0.000
1/2/2007;01:41:00;0.296;0.108;241.610;1.200;0.000;1.000;0.000
1/2/2007;01:42:00;0.296;0.106;241.370;1.200;0.000;2.000;0.000
1/2/2007;01:43:00;0.294;0.106;240.990;1.200;0.000;1.000;0.000
1/2/2007;01:44:00;0.294;0.106;241.270;1.200;0.000;1.000;0.000
1/2/2007;01:45:00;0.242;0.000;241.260;1.000;0.000;0.000;0.000
1/2/2007;01:46:00;0.224;0.000;241.760;1.000;0.000;0.000;0.000
1/2/2007;01:47:00;0.224;0.000;242.380;1.000;0.000;0.000;0.000
1/2/2007;01:48:00;0.224;0.000;242.150;1.000;0.000;0.000;0.000
1/2/2007;01:49:00;0.288;0.050;241.690;1.400;0.000;0.000;0.000
1/2/2007;01:50:00;0.298;0.088;241.020;1.200;0.000;0.000;0.000
1/2/2007;01:51:00;0.298;0.088;240.750;1.200;0.000;0.000;0.000
1/2/2007;01:52:00;0.298;0.088;241.060;1.200;0.000;0.000;0.000
1/2/2007;01:53:00;0.300;0.090;241.570;1.200;0.000;0.000;0.000
1/2/2007;01:54:00;0.300;0.094;242.290;1.200;0.000;0.000;0.000
1/2/2007;01:55:00;0.300;0.096;242.770;1.200;0.000;0.000;0.000
1/2/2007;01:56:00;0.386;0.190;242.480;1.800;0.000;0.000;0.000
1/2/2007;01:57:00;0.406;0.228;242.240;1.800;0.000;0.000;0.000
1/2/2007;01:58:00;0.398;0.222;242.110;1.800;0.000;0.000;0.000
1/2/2007;01:59:00;0.326;0.116;240.550;1.400;0.000;0.000;0.000
1/2/2007;02:00:00;0.324;0.116;240.330;1.400;0.000;0.000;0.000
1/2/2007;02:01:00;0.328;0.126;242.570;1.400;0.000;0.000;0.000
1/2/2007;02:02:00;0.328;0.130;243.120;1.400;0.000;0.000;0.000
1/2/2007;02:03:00;0.326;0.128;243.050;1.400;0.000;0.000;0.000
1/2/2007;02:04:00;0.324;0.128;243.090;1.400;0.000;0.000;0.000
1/2/2007;02:05:00;0.322;0.124;242.070;1.400;0.000;0.000;0.000
1/2/2007;02:06:00;0.322;0.124;242.210;1.400;0.000;0.000;0.000
1/2/2007;02:07:00;0.322;0.126;242.470;1.400;0.000;0.000;0.000
1/2/2007;02:08:00;0.322;0.126;242.570;1.400;0.000;0.000;0.000
1/2/2007;02:09:00;0.322;0.128;243.080;1.400;0.000;0.000;0.000
1/2/2007;02:10:00;0.322;0.130;243.280;1.400;0.000;0.000;0.000
1/2/2007;02:11:00;0.242;0.000;243.520;1.000;0.000;0.000;0.000
1/2/2007;02:12:00;0.228;0.000;244.090;1.000;0.000;0.000;0.000
1/2/2007;02:13:00;0.228;0.000;244.020;1.000;0.000;0.000;0.000
1/2/2007;02:14:00;0.228;0.000;244.020;1.000;0.000;0.000;0.000
1/2/2007;02:15:00;0.226;0.000;243.250;1.000;0.000;0.000;0.000
1/2/2007;02:16:00;0.226;0.000;243.060;1.000;0.000;0.000;0.000
1/2/2007;02:17:00;0.228;0.000;243.380;1.000;0.000;0.000;0.000
1/2/2007;02:18:00;0.228;0.000;243.910;1.000;0.000;0.000;0.000
1/2/2007;02:19:00;0.228;0.000;243.930;1.000;0.000;0.000;0.000
1/2/2007;02:20:00;0.228;0.000;243.550;1.000;0.000;0.000;0.000
1/2/2007;02:21:00;0.228;0.000;243.450;1.000;0.000;0.000;0.000
1/2/2007;02:22:00;0.226;0.000;242.420;1.000;0.000;0.000;0.000
1/2/2007;02:23:00;0.226;0.000;243.140;1.000;0.000;0.000;0.000
1/2/2007;02:24:00;0.228;0.000;243.370;1.000;0.000;0.000;0.000
1/2/2007;02:25:00;0.228;0.000;243.530;1.000;0.000;0.000;0.000
1/2/2007;02:26:00;0.226;0.000;243.220;1.000;0.000;0.000;0.000
1/2/2007;02:27:00;0.228;0.000;243.570;1.000;0.000;0.000;0.000
1/2/2007;02:28:00;0.228;0.000;243.760;1.000;0.000;0.000;0.000
